"","location","year","lat","long","alt","bloom_date","bloom_doy","MONTH","LATITUDE","LONGITUDE","ELEVATION","CDSD","CLDD","DP01","DP10","DP1X","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"1","liestal",1901,47.4814,7.730519,350,"1901-04-23",113,6.5,47.5331,7.5831,316,54.5166666666667,8.61666666666667,12.1666666666667,7.5,0.333333333333333,0,8.58333333333333,2.41666666666667,7.83333333333333,0,-1.10833333333333,18.8,20.775,NA,287.966666666667,72.2,9.075,13.3383333333333,4.81166666666667
"2","liestal",1902,47.4814,7.730519,350,"1902-04-12",102,6.5,47.5331,7.5831,316,52.8833333333333,8.99166666666667,13.5833333333333,7.83333333333333,0.25,0,6.33333333333333,1.5,5.91666666666667,0.333333333333333,-1.15833333333333,18.975,21.675,1616.88333333333,279.758333333333,66.325,9.39083333333333,13.4733333333333,5.305
"3","liestal",1903,47.4814,7.730519,350,"1903-03-27",86,6.5,47.5331,7.5831,316,37.725,6.94166666666667,12.3333333333333,6.25,0.0833333333333333,0,6.83333333333333,1.25,7.25,0,0.291666666666667,14.775,22.3,1647.54166666667,265.875,54.2,9.78666666666667,14.0025,5.5725
"4","liestal",1904,47.4814,7.730519,350,"1904-04-13",104,6.5,47.5331,7.5831,316,102.116666666667,17.2166666666667,12.0833333333333,5.75,0.0833333333333333,0,6.41666666666667,1.33333333333333,8.25,0.25,0.0333333333333332,12.5166666666667,22.2333333333333,1593.38333333333,262.891666666667,50.2166666666667,10.2541666666667,14.5758333333333,5.93166666666667
"5","liestal",1905,47.4814,7.730519,350,"1905-04-12",102,6.5,47.5331,7.5831,316,85.1166666666667,14.4,14.5833333333333,7.91666666666667,0.416666666666667,0.0833333333333333,7.5,1.25,7.25,0.166666666666667,-0.5,19.5166666666667,21.15,1656.5,281.108333333333,78.35,9.53083333333333,13.6483333333333,5.41166666666667
"6","liestal",1906,47.4814,7.730519,350,"1906-04-13",103,6.5,47.5331,7.5831,316,77.4833333333333,13.85,11.5,6.33333333333333,0.333333333333333,0,7.08333333333333,1.33333333333333,7.83333333333333,0.333333333333333,-1.40833333333333,18.4416666666667,22.9,1649.66666666667,269.95,55.0666666666667,9.86083333333333,14.3541666666667,5.365
"7","liestal",1907,47.4814,7.730519,350,"1907-04-15",105,6.5,47.5331,7.5831,316,32.3,5.66666666666667,13.25,6.75,0.166666666666667,0.0833333333333333,6.66666666666667,1.33333333333333,7.25,0,-1.21666666666667,16.65,21.1583333333333,1652.825,271.533333333333,56.925,9.53083333333333,13.81,5.25333333333333
"8","liestal",1908,47.4814,7.730519,350,"1908-04-28",119,6.5,47.5331,7.5831,316,57.4666666666667,8.70833333333333,12.0833333333333,6.33333333333333,0.583333333333333,0,7.91666666666667,1.75,6.58333333333333,0.0833333333333333,-2.325,19.5666666666667,20.3583333333333,1664.85,293.825,66.3166666666667,8.965,13.2091666666667,4.7225
"9","liestal",1909,47.4814,7.730519,350,"1909-04-19",109,6.5,47.5331,7.5831,316,27.3166666666667,4.59166666666667,13.6666666666667,7.75,0.166666666666667,0,8.41666666666667,1.83333333333333,5.41666666666667,0,-1.55,15.2,21.925,1783.46666666667,288.05,66.9,8.95583333333333,13.1541666666667,4.75666666666667
"10","liestal",1910,47.4814,7.730519,350,"1910-04-15",105,6.5,47.5331,7.5831,316,25.1583333333333,4.19166666666667,14.75,8.41666666666667,0.416666666666667,0,5.66666666666667,0.25,5.41666666666667,0,0.508333333333333,19.1833333333333,21.5333333333333,1606.625,264.233333333333,80.35,9.74583333333333,13.73,5.76166666666667
