"","location","year","lat","long","alt","bloom_date","bloom_doy","MONTH","LATITUDE","LONGITUDE","ELEVATION","CDSD","CLDD","DP01","DP10","DP1X","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","DYFG","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"1","washingtondc",1941,38.8853496,-77.0386278,0,"1941-04-12",102,9.5,38.84721,-77.03454,4.1,NA,97.8333333333333,8.5,4.66666666666667,0.333333333333333,0,0,0,4.33333333333333,0,19.6666666666667,3.66666666666667,NA,5.83333333333333,0,0,20.5166666666667,31.1166666666667,194.75,123.6,49.7833333333333,0,17.48,22.7483333333333,12.2083333333333
"2","washingtondc",1942,38.8853496,-77.0386278,0,"1942-04-05",95,6.5,38.84721,-77.03454,4.1,380.025,64.1333333333333,9.16666666666667,6.41666666666667,1.25,0.666666666666667,0.333333333333333,0,6.16666666666667,0.833333333333333,15.3333333333333,2.08333333333333,NA,0.841666666666667,19.0833333333333,23.9166666666667,39.1666666666667,27.2083333333333,1099.94166666667,200.591666666667,101.683333333333,32.8333333333333,13.7783333333333,18.6891666666667,8.865
"3","washingtondc",1943,38.8853496,-77.0386278,0,"1943-04-04",94,6.5,38.84721,-77.03454,4.1,419.191666666667,70.1083333333333,8.5,4.91666666666667,0.5,0.583333333333333,0.583333333333333,0,7.66666666666667,1.16666666666667,13.6666666666667,4.08333333333333,NA,0.791666666666667,21.1666666666667,14.75,30.8916666666667,28.2916666666667,1217.06666666667,210.15,66.825,31.0833333333333,13.67,18.8408333333333,8.5025
"4","washingtondc",1944,38.8853496,-77.0386278,0,"1944-04-09",100,6.5,38.84721,-77.03454,4.1,396.866666666667,66.6083333333333,9.25,5.41666666666667,0.833333333333333,0.666666666666667,0.416666666666667,0,7.25,0.75,14.25,3,NA,2,16.9166666666667,11.8333333333333,39.9333333333333,27.825,1225.99166666667,208.091666666667,87.7833333333333,22,13.6658333333333,18.4183333333333,8.91333333333333
"5","washingtondc",1945,38.8853496,-77.0386278,0,"1945-03-20",79,6.5,38.84721,-77.03454,4.1,378.158333333333,63.8416666666667,10.75,7,0.75,1.33333333333333,0.416666666666667,0,6.33333333333333,1.5,15.75,1.66666666666667,NA,1.70833333333333,21.1666666666667,16.5,26.15,27.55,1188.58333333333,195.416666666667,92.2,33.8333333333333,13.9633333333333,18.7841666666667,9.14166666666667
"6","washingtondc",1946,38.8853496,-77.0386278,0,"1946-03-23",82,6.5,38.84721,-77.03454,4.1,301.2,52.25,9.16666666666667,5.83333333333333,0.5,0.5,0.5,0,4.83333333333333,0.583333333333333,15.75,1.5,10.5,2.73333333333333,23.25,22,26.6166666666667,28.7166666666667,1097.375,167.883333333333,71.2333333333333,28.5,14.4733333333333,19.5516666666667,9.395
"7","washingtondc",1947,38.8853496,-77.0386278,0,"1947-04-12",102,6.5,38.84721,-77.03454,4.1,363.941666666667,64.925,9.16666666666667,5.33333333333333,0.666666666666667,1.08333333333333,0.416666666666667,0,7.5,0.5,14.3333333333333,1.5,8.16666666666667,1.10833333333333,33.8333333333333,35.75,28.55,26.85,1088.1,205.833333333333,77.6166666666667,45.25,13.6141666666667,18.3833333333333,8.84416666666667
"8","washingtondc",1948,38.8853496,-77.0386278,0,"1948-03-28",88,6.5,38.84721,-77.03454,4.1,351.208333333333,59.625,11.1666666666667,7.66666666666667,1.41666666666667,2,0.5,0,5.91666666666667,1.58333333333333,14.1666666666667,2.08333333333333,9.66666666666667,1.39166666666667,23.3333333333333,29.6666666666667,38.8833333333333,28.8916666666667,1216.10833333333,201.583333333333,121.858333333333,51.5,13.6558333333333,18.5966666666667,8.71416666666667
"9","washingtondc",1949,38.8853496,-77.0386278,0,"1949-03-29",88,6.5,38.84721,-77.03454,4.1,402.475,69.1583333333333,10.1666666666667,7.08333333333333,0.75,0.333333333333333,0.333333333333333,0,4.41666666666667,0.0833333333333333,14.6666666666667,2.16666666666667,7.66666666666667,3.33333333333333,8.5,16.5,24.9666666666667,29.3166666666667,1006.80833333333,168.433333333333,84.4333333333333,24.1666666666667,15.0141666666667,19.8083333333333,10.2216666666667
"10","washingtondc",1950,38.8853496,-77.0386278,0,"1950-04-09",99,6.5,38.84721,-77.03454,4.1,316.766666666667,54.5833333333333,11.1666666666667,6.91666666666667,0.916666666666667,0.333333333333333,0.25,0,6.33333333333333,0.583333333333333,14.5833333333333,1.08333333333333,8.66666666666667,1.31666666666667,12.6666666666667,16.3333333333333,39.4666666666667,28.425,1025.35,190.45,101.425,18.6666666666667,13.8041666666667,18.5816666666667,9.02833333333333
